;Ferrovia;Linha;A;B;Extensão (km);x;AB;Instalada;Trens;Utilizada
0;EFC;Ramal Ponta da Madeira Cobre;A99;QCO;1;;A99 - QCO;0;1;0
1;EFC;Ramal Ponta da Madeira Granel;A99;QPI;2,7;;A99 - QPI;0;1;0
2;EFC;Ponta da Madeira - Carajás;QPM;QRO;39;;QPM - QRO;42,20935;28,57;0,676864249
3;EFC;Ponta da Madeira - Carajás;QRO;QSI;174;;QRO - QSI;31,22883;28,57;0,914859763
4;EFC;Ponta da Madeira - Carajás;QSI;QNV;171;;QSI - QNV;31,78169;28,57;0,898945273
5;EFC;Ponta da Madeira - Carajás;QNV;QAL;129;;QNV - QAL;28,07589;28,08;1,000146389
6;EFC;Ponta da Madeira - Carajás;QAL;QMA;225;;QAL - QMA;57,85971;22,75;0,39319243
7;EFC;Ponta da Madeira - Carajás;QMA;QSL;93,342;;QMA - QSL;23,27814;23,28;1,000079903
8;EFC;Ponta da Madeira - Carajás;QSL;QRS;28,075;;QSL - QRS;23,27814;23,28;1,000079903
9;EFC;Ponta da Madeira - Carajás;QRS;QPA;1,583;;QRS - QPA;23,27814;16,04;0,68905849
10;EFC;Ponta da Madeira - Carajás;QPA;QCA;30;;QPA - QCA;40,77451;15,15;0,371555661
11;EFC;Ramal Ponta da Madeira - Virador de Vagões Minério;QPM;QVV;8;;QPM - QVV;0;1;0
12;EFC;Ramal Ponta da Madeira - Pombinho;QPM;APB;7;;QPM - APB;0;1;0
13;EFC;Ramal Serra Sul;QRS;QSS;86,969;;QRS - QSS;11,12185;9,98;0,897332728
14;EFPO;Guarapuava - Cascavel;LGP;S01;7,5;;LGP - S01;17,28;3;0,173611111
15;EFPO;Guarapuava - Cascavel;S01;SCR;20,19;;S01 - SCR;8,64;3;0,347222222
16;EFPO;Guarapuava - Cascavel;SCR;SLI;13,063;;SCR - SLI;9,14823;3;0,327932289
17;EFPO;Guarapuava - Cascavel;SLI;SAR;16,343;;SLI - SAR;8,18526;3;0,366512487
18;EFPO;Guarapuava - Cascavel;SAR;SGO;25,922;;SAR - SGO;5,36275;3;0,55941448
19;EFPO;Guarapuava - Cascavel;SGO;SCG;21;;SGO - SCG;6,76173;3;0,443673439
20;EFPO;Guarapuava - Cascavel;SCG;SLS;20,64;;SCG - SLS;6,76173;3;0,443673439
21;EFPO;Guarapuava - Cascavel;SLS;SHE;23,304;;SLS - SHE;6,88141;3;0,435957166
22;EFPO;Guarapuava - Cascavel;SHE;SGU;26,825;;SHE - SGU;6,2208;3;0,482253086
23;EFPO;Guarapuava - Cascavel;SGU;SIB;25,358;;SGU - SIB;6,76173;3;0,443673439
24;EFPO;Guarapuava - Cascavel;SIB;SCB;23,041;;SIB - SCB;7,54951;3;0,397376783
25;EFPO;Guarapuava - Cascavel;SCB;SCA;24,912;;SCB - SCA;7,06909;3;0,424382771
26;EFVM;Ramal de Fábrica;VDD;VBV;19,053;;VDD - VBV;42,4678652;35,77;0,842283921
27;EFVM;Ramal de Fábrica;VBV;VJM;2,76;;VBV - VJM;52,08489731;34,9;0,670059879
28;EFVM;Ramal de Fábrica;VJM;VRP;13,671;;VJM - VRP;52,08489731;1;0,019199423
29;EFVM;Ramal de Fábrica;VRP;VBS;3,382;;VRP - VBS;58,86952684;35,04;0,595214568
30;EFVM;Ramal de Fábrica;VBS;OPT;6,612;;VBS - OPT;58,86952684;1;0,016986717
31;EFVM;Ramal de Fábrica;OPT;OFI;8,959;;OPT - OFI;58,86952684;1;0,016986717
32;EFVM;Ramal de Fábrica;OFI;VCS;7,699;;OFI - VCS;46,33421782;33,89;0,731424886
33;EFVM;Ramal de Fábrica;VCS;VAG;4,294;;VCS - VAG;36,68525956;5,39;0,146925497
34;EFVM;Ramal de Fábrica;VAG;VBT;10,143;;VAG - VBT;37,68172503;5,39;0,143040161
35;EFVM;Ramal de Fábrica;VBT;VFZ;13,074;;VBT - VFZ;23,50687383;5,39;0,229294633
36;EFVM;Ramal de Fábrica;VFZ;VAL;8,143;;VFZ - VAL;35,79689083;7,12;0,198899956
37;EFVM;Ramal de Fábrica;VAL;VTO;8,31;;VAL - VTO;32,88561926;7,12;0,21650801
38;EFVM;Ramal de Fábrica;VTO;VRV;12,82;;VTO - VRV;34,37757072;2,7;0,078539581
39;EFVM;Ramal de Fábrica;VRV;VFU;14,868;;VRV - VFU;23,0148974;2,7;0,117315318
40;EFVM;Ramal de Fábrica;VFU;VCB;8,088;;VFU - VCB;32,63567427;2,58;0,079054595
41;EFVM;Ramal de Fábrica;VCB;ELF;9,159;;VCB - ELF;18,63835635;2,58;0,138424223
42;EFVM;Ramal de Fábrica;ELF;VFM;13,062;;ELF - VFM;40,076608;0,54;0,013474194
43;EFVM;Ramal de Fábrica;VFM;VFA;2,458;;VFM - VFA;40,076608;0,54;0,013474194
44;EFVM;Piraqueaçu - Aracruz;VPA;VAZ;47;;VPA - VAZ;5,08917;2,61;0,512853766
45;EFVM;Porto Velho - Itabira;VPN;VFH;6,257;;VPN - VFH;16,72752;1;0,059781725
46;EFVM;Porto Velho - Itabira;VFH;VEA;6,154;;VFH - VEA;16,72752;3,25;0,194290606
47;EFVM;Porto Velho - Itabira;VEA;V03;2,393;;VEA - V03;30,99947;3,25;0,104840502
48;EFVM;Porto Velho - Itabira;V03;VAB;9,269;;V03 - VAB;76,2048;35,7;0,468474427
49;EFVM;Porto Velho - Itabira;VAB;VFN;27,219;;VAB - VFN;66,39054;35,56;0,535618478
50;EFVM;Porto Velho - Itabira;VFN;VAR;15,012;;VFN - VAR;66,39054;1;0,015062387
51;EFVM;Porto Velho - Itabira;VAR;VPA;8,723;;VAR - VPA;74,73056;35,56;0,475842815
52;EFVM;Porto Velho - Itabira;VPA;VCL;56,592;;VPA - VCL;83,62167;37,86;0,452753455
53;EFVM;Porto Velho - Itabira;VCL;VIA;20,536;;VCL - VIA;83,62167;1;0,011958623
54;EFVM;Porto Velho - Itabira;VIA;VMC;11,467;;VIA - VMC;75,0947;37,81;0,503497584
55;EFVM;Porto Velho - Itabira;VMC;VBG;10,957;;VMC - VBG;86,59636;37,81;0,436623433
56;EFVM;Porto Velho - Itabira;VBG;VAY;5,646;;VBG - VAY;83,4624;37,81;0,453018365
57;EFVM;Porto Velho - Itabira;VAY;VIU;20,775;;VAY - VIU;83,4624;1;0,011981443
58;EFVM;Porto Velho - Itabira;VIU;VRD;14,732;;VIU - VRD;69,36472;37,81;0,545089781
59;EFVM;Porto Velho - Itabira;VRD;VCN;16,305;;VRD - VCN;69,36472;1;0,014416551
60;EFVM;Porto Velho - Itabira;VCN;VCP;16,554;;VCN - VCP;66,62402;37,81;0,567513038
61;EFVM;Porto Velho - Itabira;VCP;VBC;13,277;;VCP - VBC;69,36472;1;0,014416551
62;EFVM;Porto Velho - Itabira;VBC;VST;7,797;;VBC - VST;69,36472;1;0,014416551
63;EFVM;Porto Velho - Itabira;VST;VTR;12,029;;VST - VTR;78,38597;37,81;0,482356728
64;EFVM;Porto Velho - Itabira;VTR;VGV;43,213;;VTR - VGV;80,4342;37,81;0,470073675
65;EFVM;Porto Velho - Itabira;VGV;VPC;36,132;;VGV - VPC;80,4342;1;0,012432522
66;EFVM;Porto Velho - Itabira;VPC;VFS;37,561;;VPC - VFS;71,71482;37,98;0,529597648
67;EFVM;Porto Velho - Itabira;VFS;VJC;28,728;;VFS - VJC;85,83302;37,58;0,437826841
68;EFVM;Porto Velho - Itabira;VJC;VIC;8,176;;VJC - VIC;46,45024;37,6;0,809468369
69;EFVM;Porto Velho - Itabira;VIC;VMR;13,824;;VIC - VMR;93,1302;41,52;0,445827454
70;EFVM;Porto Velho - Itabira;VMR;VAC;1,672;;VMR - VAC;93,1302;1;0,010737655
71;EFVM;Porto Velho - Itabira;VAC;VAD;30,596;;VAC - VAD;93,1302;1;0,010737655
72;EFVM;Porto Velho - Itabira;VAD;DDC;21,604;;VAD - DDC;53,79387;41,65;0,774251787
73;EFVM;Porto Velho - Itabira;DDC;VDD;4,034;;DDC - VDD;62,36761;41,65;0,667814592
74;EFVM;Porto Velho - Itabira;VDD;VLB;26,415;;VDD - VLB;78,52645;8,36;0,106460944
